idt,sex,pari,city,migra,pari2,pari3,dens1,denscat1,age,agegr,civ3,civ4,educ,occup,mpm
43103,2,0,2,1,1,1,2,3,25,1,1,1,1,1,0
43103,2,0,3,0,1,1,.8,1,26,1,1,1,2,1,1
43104,1,0,2,1,1,1,2,3,19,1,1,1,1,1,0
43203,2,0,2,1,1,1,2.5,3,23,1,1,1,1,1,0
43301,2,5,1,1,2,3,3.5,3,35,2,2,2,1,2,1
43302,1,5,1,1,2,3,3.5,3,34,2,2,2,1,1,1
43501,1,2,2,0,2,2,1.3,2,39,2,2,2,1,1,0
43502,2,2,2,0,2,2,1.3,2,37,2,2,2,1,3,1
43503,2,0,2,0,1,1,1.3,2,16,1,1,1,1,1,0
43601,1,0,2,1,1,1,1.3,2,69,3,2,2,1,1,0
43602,2,0,2,1,1,1,1.3,2,69,3,2,2,1,2,0
43701,1,0,1,1,1,1,.7,1,27,1,2,2,2,1,0
43703,2,0,3,0,1,1,2.2,3,61,3,3,4,2,1,1
44004,1,0,1,1,1,1,.8,1,26,1,1,1,2,1,0
44902,2,1,3,1,2,2,.8,1,32,2,2,2,1,2,1
46102,2,1,3,0,2,2,1,2,33,2,2,2,1,2,1
46203,1,0,1,0,1,1,1.7,2,21,1,1,1,2,1,1
46402,1,0,3,1,1,1,.8,1,27,1,1,1,1,1,0
46503,2,0,2,0,1,1,1.7,2,18,1,1,1,1,3,0
46604,1,0,3,1,1,1,.7,1,23,1,1,1,1,1,0
47003,1,0,2,1,1,1,2,3,23,1,1,1,1,3,0
47103,2,0,2,0,1,1,3,3,15,1,1,1,1,1,0
47201,2,0,3,1,1,1,.4,1,52,3,2,2,1,2,0
47203,1,0,2,1,1,1,7,3,18,1,1,1,1,3,0
47205,1,0,2,0,1,1,7,3,16,1,1,1,1,1,0
47301,1,3,2,1,2,3,6,3,33,2,2,2,1,1,1
47302,2,3,2,1,2,3,6,3,31,2,2,2,1,1,0
47401,2,6,2,1,2,3,4,3,40,2,3,3,1,1,0
47403,2,6,2,1,2,3,4,3,24,1,2,2,1,3,1
47503,2,0,2,0,1,1,4.5,3,15,1,1,1,1,1,0
47902,2,2,3,1,2,2,2,3,24,1,2,2,1,1,1
48003,2,3,2,1,2,3,2.3,3,58,3,2,2,1,3,1
48104,1,0,1,1,1,1,.9,1,23,1,1,1,2,1,1
48301,1,1,1,1,2,2,1.5,2,28,1,2,2,1,1,1
48601,1,2,1,1,2,2,.7,1,33,2,2,2,2,1,0
48602,2,2,1,1,2,2,.7,1,31,2,2,2,2,3,1
49201,2,4,1,1,2,3,1.2,2,32,2,2,2,2,1,1
49701,2,2,2,0,2,2,5,3,20,1,2,2,1,3,0
49802,2,1,1,1,2,2,1.3,2,23,1,2,2,2,3,1
49903,2,1,3,0,2,2,1,2,38,2,2,2,2,1,0
50102,1,0,1,1,1,1,.7,1,33,2,3,4,2,1,0
50501,2,0,3,1,1,1,.7,1,50,3,3,3,9,1,0
